"Symbol","Dollar Volume","Price"
"BTC","5397560000.0","1.0"
"ETH","1151570000.0","0.0559542"
"XRP","324754000.0","7.28845e-05"
"BCH","236040000.0","0.0944709"
"LTC","275700000.0","0.0174687"
"EOS","557180000.0","0.000916208"
"ADA","98781700.0","2.17792e-05"
"XLM","40186100.0","2.88307e-05"
"NEO","60023600.0","0.00691166"
"XMR","39109000.0","0.0255094"
"MIOTA","17860900.0","0.00014542"
"TRX","1572090000.0","6.04004e-06"
"DASH","62978100.0","0.0442172"
"USDT","1533120000.0","0.000148017"
"XEM","32237000.0","3.31999e-05"
"BNB","100956000.0","0.00185146"
"ETC","93422200.0","0.00202079"
"VEN","52153800.0","0.000354722"
"QTUM","94164100.0","0.00198332"
"OMG","87032100.0","0.0013075"
"LSK","28480200.0","0.00121693"
"XVG","164943000.0","8.19909e-06"
"ICX","34566800.0","0.000288591"
"ONT","77793000.0","0.000438611"
"BTG","15019100.0","0.00609763"
"NANO","6007710.0","0.000752459"
"ZEC","35978700.0","0.0269596"
"STEEM","8973400.0","0.00027086"
"BTM","14799600.0","7.0081e-05"
"PPT","1041130.0","0.00174101"
"DGD","13561500.0","0.0302271"
"BTS","8993550.0","2.16858e-05"
"BCN","1927810.0","3.07867e-07"
"SC","10932500.0","1.60597e-06"
"WAVES","16567100.0","0.000520287"
"STRAT","9343450.0","0.0005176"
"BCD","3200190.0","0.000329782"
"RHOC","365338.0","0.000138402"
"AE","5207030.0","0.000206872"
"DOGE","4432890.0","4.01272e-07"
"DCR","457283.0","0.00645731"
"MKR","67003.9","0.0736182"
"SNT","37640700.0","1.30473e-05"
"REP","9015080.0","0.0039307"
"ZIL","12227400.0","5.92685e-06"
"ZRX","35352400.0","7.97604e-05"
"KMD","3366770.0","0.000374702"
"ARDR","7850060.0","3.69726e-05"
"IOST","47201600.0","4.11124e-06"
"CENNZ","182541.0","5.186e-05"
"HSR","14171100.0","0.000786107"
"AION","6420160.0","0.000281531"
"ARK","2721430.0","0.000317328"
"PIVX","5260270.0","0.000571272"
"LRC","2982360.0","5.51625e-05"
"WTC","3752900.0","0.00124553"
"CNX","1136420.0","0.00066441"
"KCS","642008.0","0.000316894"
"MONA","1033470.0","0.000479879"
"QASH","4218170.0","8.00546e-05"
"BAT","7293520.0","2.78161e-05"
"VERI","711520.0","0.0135209"
"DGB","1557690.0","2.66595e-06"
"FCT","1097660.0","0.00301739"
"DRGN","2294620.0","0.000106089"
"GNT","5569420.0","2.86001e-05"
"NAS","6462080.0","0.000650202"
"GXS","606836.0","0.000379455"
"GAS","3775770.0","0.00217405"
"ETHOS","3283020.0","0.000285584"
"ELF","26737700.0","8.21445e-05"
"SYS","1151280.0","3.85615e-05"
"FUN","1041190.0","4.34011e-06"
"R","2777710.0","0.000106818"
"ETN","724704.0","2.94169e-06"
"SUB","4672650.0","5.26338e-05"
"XZC","3784620.0","0.00408873"
"KNC","4473750.0","0.000132719"
"STORM","59979000.0","4.20879e-06"
"GBYTE","256198.0","0.0259497"
"NXT","1785600.0","1.67538e-05"
"MAID","1042040.0","3.69554e-05"
"RDD","3037960.0","5.74431e-07"
"SALT","5129440.0","0.000289034"
"POWR","9768330.0","4.33307e-05"
"DENT","1696450.0","1.48093e-06"
"NCASH","13144000.0","3.90769e-06"
"KIN","349037.0","2.06751e-08"
"LINK","9798540.0","4.27511e-05"
"SKY","753369.0","0.00190195"
"BNT","5110520.0","0.000327901"
"DCN","46983.6","4.52353e-08"
"STORJ","10354500.0","0.000107378"
"ENG","5523440.0","0.000191441"
"GNX","3783880.0","5.90888e-05"
"NEBL","8163730.0","0.00108069"
"REQ","2825850.0","2.08529e-05"
"PAY","3833960.0","0.000130938"
"WAX","2201420.0","2.18414e-05"
"CND","1319800.0","9.33615e-06"
"EMC","572240.0","0.00031925"
"VTC","12956200.0","0.00029344"
"PART","232365.0","0.00143299"
"ICN","12470300.0","0.000125767"
"ACT","4118610.0","2.69646e-05"
"ZEN","918431.0","0.00329035"
"POLY","589856.0","4.88991e-05"
"NXS","675759.0","0.000204717"
"MAN","351974.0","7.60415e-05"
"MNX","68621.6","0.00318748"
"DROP","141584.0","6.23622e-07"
"CS","1911110.0","8.2172e-05"
"MANA","6897130.0","1.06401e-05"
"MTL","14210700.0","0.000482558"
"NULS","7499570.0","0.000263766"
"SMART","51684.2","1.20575e-05"
"CVC","4604760.0","2.9373e-05"
"GAME","122171.0","0.000155879"
"ENJ","6583430.0","1.32464e-05"
"GNO","322115.0","0.00894143"
"BLOCK","135904.0","0.00192706"
"POE","18777400.0","4.27016e-06"
"RLC","647520.0","0.000120108"
"POA","3381540.0","4.66659e-05"
"MITH","7303840.0","3.15854e-05"
"BTX","1327900.0","0.000703904"
"THETA","6218340.0","1.59855e-05"
"MCO","7813470.0","0.000708089"
"AGI","154114.0","1.7347e-05"
"QSP","3803520.0","1.50868e-05"
"GVT","7133690.0","0.00249067"
"TNB","4421160.0","4.077e-06"
"SRN","14269800.0","3.98638e-05"
"PRL","608325.0","0.000116846"
"RDN","6383850.0","0.00018029"
"ANT","299516.0","0.00033864"
"AUTO","3704530.0","1.39808e-06"
"DTR","107322.0","7.36784e-06"
"BTCD","220448.0","0.00675325"
"IGNIS","1183760.0","1.14302e-05"
"SAN","1285080.0","0.000137362"
"FSN","225051.0","0.000305199"
"HPB","3960160.0","0.000375386"
"DBC","2152130.0","5.28731e-06"
"BOS","219153.0","1.82629e-05"
"DEW","52048.2","7.49148e-05"
"PPP","50789.1","9.3525e-05"
"UBQ","911243.0","0.000190808"
"GRS","60427100.0","0.000109578"
"NAV","1880480.0","0.000120538"
"TKY","382098.0","2.06406e-06"
"ABT","19537000.0","7.79419e-05"
"XDN","2422150.0","1.02312e-06"
"PLR","88487.2","3.04825e-05"
"CMT","8572220.0","1.08696e-05"
"EDO","5411160.0","0.000232361"
"EVN","53773.4","6.20571e-05"
"VEE","348269.0","4.34802e-06"
"GTO","849838.0","2.38057e-05"
"PAYX","2385.09","9.63744e-05"
"XAS","705580.0","7.02484e-05"
"SMT","4076140.0","4.59048e-06"
"BLZ","3540840.0","3.93125e-05"
"BIX","253377.0","6.11996e-05"
"LEND","1316860.0","5.95839e-06"
"TEL","199273.0","2.26929e-07"
"LOOM","202902.0","1.3329e-05"
"QRL","268571.0","0.000121675"
"ION","385147.0","0.000305582"
"MED","611052.0","2.11122e-06"
"XBY","44188.3","1.44881e-05"
"EDG","1374060.0","7.54429e-05"
"DDD","71399.2","2.04921e-05"
"RUFF","5498280.0","7.39213e-06"
"ADX","5543380.0","8.32971e-05"
"SLS","2523710.0","0.00605334"
"BCO","10630.5","0.000226234"
"PURA","1802200.0","3.48295e-05"
"RCN","5828950.0","1.23041e-05"
"OST","1957260.0","1.92871e-05"
"C20","958492.0","0.000147084"
"ITC","5511270.0","0.000119053"
"DTA","6406200.0","1.24555e-06"
"AMB","808184.0","3.92915e-05"
"SPHTX","89437.9","2.90583e-05"
"PPC","357955.0","0.000223178"
"XP","87805.6","2.44548e-08"
"EMC2","4626350.0","2.48852e-05"
"DATA","382329.0","7.85112e-06"
"SPANK","45432.2","1.76195e-05"
"FTC","94503.1","2.67639e-05"
"MDS","6489190.0","1.08185e-05"
"AST","2483990.0","3.48281e-05"
"SNM","716545.0","1.43339e-05"
"BAY","414401.0","5.08014e-06"
"RPX","1236850.0","9.36551e-06"
"CRPT","178432.0","6.4931e-05"
"CSC","11801.7","1.39223e-07"
"WINGS","1496470.0","5.48266e-05"
"NLG","111971.0","1.23477e-05"
"UTK","1836100.0","1.69736e-05"
"SNGLS","812032.0","8.08086e-06"
"NPXS","549252.0","1.11938e-07"
"WPR","4611020.0","1.16584e-05"
"VIA","1374530.0","0.000201878"
"ORME","4454930.0","0.000271992"
"VIBE","501782.0","2.30524e-05"
"NGC","38689.9","7.98556e-05"
"APPC","1665330.0","4.48837e-05"
"TAAS","270562.0","0.000548625"
"INS","1686480.0","0.000146998"
"MGO","1757850.0","4.5225e-05"
"DNT","1352340.0","7.37464e-06"
"BRD","1579490.0","5.8894e-05"
"MOD","490063.0","0.000238979"
"XCP","129690.0","0.00165092"
"RKT","130275.0","1.56027e-05"
"RVN","259597.0","5.44713e-06"
"QLC","7422120.0","1.77047e-05"
"SOAR","6137.41","3.92422e-06"
"TNT","4404070.0","9.88534e-06"
"MOBI","709482.0","1.10602e-05"
"BCA","16190.0","0.000231861"
"LBC","259818.0","2.60772e-05"
"TRAC","207569.0","1.62307e-05"
"WABI","999817.0","9.04685e-05"
"TNC","429284.0","1.22116e-05"
"UTNP","3721.79","2.33496e-06"
"INK","2577200.0","8.55076e-06"
"BITCNY","18070400.0","2.53444e-05"
"WGR","9800.33","2.15858e-05"
"HTML","61365.0","5.96011e-08"
"FUEL","980647.0","8.07281e-06"
"BURST","197694.0","2.03345e-06"
"MLN","244246.0","0.00646907"
"BTO","119842.0","1.08509e-05"
"IHT","3815860.0","1.14561e-05"
"PRE","15062.2","2.46905e-05"
"JNT","259890.0","2.548e-05"
"CLOAK","144931.0","0.000737242"
"UNO","14872.4","0.0188743"
"GTC","1750480.0","6.54187e-06"
"COB","1644.59","1.01911e-05"
"DPY","902431.0","9.45891e-05"
"BCPT","2519960.0","5.20391e-05"
"MOON","15006.5","1.54839e-08"
"ETP","845067.0","9.10024e-05"
"AEON","75979.6","0.000220229"
"CDT","1249630.0","5.20596e-06"
"LEO","30215.4","3.35868e-05"
"TRIG","3070390.0","0.0001042"
"UKG","1858150.0","2.36737e-05"
"SBD","17473400.0","0.000289857"
"NMC","310385.0","0.000218906"
"ERA","620.488","9.59358e-06"
"CPC","2538150.0","1.40623e-05"
"EDR","79796.4","3.57331e-06"
